disease,doctor_specialty
Chronic myelogenous leukemia,General Physician
Colon cancer,Oncologist
Endometrial cancer,Oncologist
Esophageal cancer,Oncologist
Eye melanoma,General Physician
Gallbladder cancer,Oncologist
Stomach cancer,Oncologist
Hairy cell leukemia,General Physician
Hodgkin's lymphoma (Hodgkin's disease),General Physician
Hurthle cell cancer,Oncologist
Kidney cancer,Nephrologist
Leukemia,General Physician
Mouth cancer,Oncologist
Liver cancer,Oncologist
Lung cancer,Oncologist
Merkel cell carcinoma,Oncologist
Mesothelioma,General Physician
Multiple myeloma,General Physician
Nasopharyngeal carcinoma,Oncologist
Neuroblastoma,Neurologist
Non-Hodgkin's lymphoma,General Physician
Ovarian cancer,Oncologist
Pancreatic cancer,Oncologist
Prostate cancer,Oncologist
Rectal cancer,Oncologist
Skin cancer,Dermatologist
Soft tissue sarcoma,General Physician
Squamous cell carcinoma of the skin,Dermatologist
Testicular cancer,Oncologist
Throat cancer,Oncologist
Thyroid cancer,Oncologist
Vaginal cancer,Oncologist
Vulvar cancer,Oncologist
Wilms' tumor,Oncologist
Yeast infection (vaginal),Infectious Disease
Carbon monoxide poisoning,General Physician
Sudden cardiac arrest,General Physician
Myocardial ischemia,General Physician
Cardiogenic shock,Cardiologist
Enlarged heart,Cardiologist
Cardiomyopathy,Cardiologist
Dilated cardiomyopathy,Cardiologist
Hypertrophic cardiomyopathy,Cardiologist
Heart disease,Cardiologist
Carotid artery disease,General Physician
Carpal tunnel syndrome,General Physician
Cataracts,General Physician
Celiac disease,General Physician
Cellulitis,General Physician
Central sleep apnea,General Physician
Cerebral palsy,General Physician
Stroke,General Physician
Cervical spondylosis,General Physician
Cervicitis,General Physician
Chemo brain,Neurologist
Chickenpox,General Physician
Chilblains,General Physician
Childhood obesity,General Physician
Chlamydia trachomatis,General Physician
Primary sclerosing cholangitis,General Physician
Cholecystitis,General Physician
Cholera,General Physician
Cholestasis of pregnancy,General Physician
High cholesterol,General Physician
Spinal cord tumor,Oncologist
Chronic cough,General Physician
Chronic daily headaches,General Physician
Chronic exertional compartment syndrome,General Physician
Chronic fatigue syndrome,General Physician
Chronic kidney disease,Nephrologist
Hashimoto's disease,General Physician
COPD,General Physician
Chronic sinusitis,General Physician
Cirrhosis,General Physician
Claudication,General Physician
Cleft lip and cleft palate,General Physician
Depression (major depressive disorder),General Physician
Clubfoot,General Physician
Cluster headache,General Physician
Valley fever,General Physician
Cold urticaria,General Physician
Hypothermia,General Physician
Cold sore,General Physician
Common cold,General Physician
Colic,General Physician
Ischemic colitis,General Physician
Microscopic colitis,General Physician
Ulcerative colitis,General Physician
Pneumothorax,General Physician
Colon polyps,General Physician
Common cold in babies,General Physician
Common warts,General Physician
Complicated grief,General Physician
Hoarding disorder,General Physician
Compulsive sexual behavior,General Physician
Concussion,General Physician
Genital warts,General Physician
Congenital adrenal hyperplasia,Nephrologist
Congenital heart defects in children,Cardiologist
Congenital myopathies,General Physician
Heart failure,Cardiologist
Constipation,General Physician
Constipation in children,General Physician
Contact dermatitis,Dermatologist
Coronary artery disease,General Physician
Coronavirus disease 2019 (COVID-19),Infectious Disease
Cough headaches,General Physician
Multisystem inflammatory syndrome in children (MIS-C) and COVID-19,General Physician
Pubic lice (crabs),General Physician
Menstrual cramps,General Physician
Crohn's disease,General Physician
Croup,General Physician
Undescended testicle,General Physician
Cryptosporidium infection,Infectious Disease
Peyronie's disease,General Physician
Scoliosis,General Physician
Self-injury/cutting,General Physician
Cyclic vomiting syndrome,General Physician
Cyclospora infection,Infectious Disease
Cyclothymia (cyclothymic disorder),General Physician
Kidney cysts,Nephrologist
Spermatocele,General Physician
Cystic fibrosis,General Physician
Epidermoid cysts,General Physician
Cytomegalovirus (CMV) infection,Infectious Disease
Dandruff,General Physician
Narcolepsy,General Physician
Ductal carcinoma in situ (DCIS),Oncologist
De Quervain's tenosynovitis,General Physician
Dry eyes,General Physician
Tularemia,General Physician
Delayed ejaculation,General Physician
Gastroparesis,Gastroenterologist
Delirium,General Physician
Dementia,General Physician
Dengue fever,General Physician
Depersonalization-derealization disorder,General Physician
Postpartum depression,General Physician
Teen depression,General Physician
Dermatitis,Dermatologist
Neurodermatitis,Dermatologist
Seborrheic dermatitis,Dermatologist
Dermatographia,Dermatologist
Desmoid tumors,Oncologist
Retinal detachment,General Physician
Deviated septum,General Physician
Diabetes,General Physician
Diabetes insipidus,General Physician
Gestational diabetes,General Physician
Type 1 diabetes,General Physician
Type 1 diabetes in children,General Physician
Type 2 diabetes,General Physician
Type 2 diabetes in children,General Physician
Diabetic coma,General Physician
Diabetic hyperosmolar syndrome,General Physician
Diabetic hypoglycemia,General Physician
Diabetic ketoacidosis,General Physician
Diabetic nephropathy,General Physician
Diabetic neuropathy,Neurologist
Dysphagia,General Physician
Diffuse idiopathic skeletal hyperostosis (DISH),General Physician
Diphtheria,General Physician
Dislocated elbow,General Physician
Dislocated shoulder,General Physician
Diverticulitis,General Physician
Dizziness,General Physician
Down syndrome,General Physician
Foot drop,General Physician
Drug allergy,General Physician
Dry skin,Dermatologist
Dumping syndrome,General Physician
Dyshidrosis,General Physician
Persistent depressive disorder (dysthymia),General Physician
E. coli,General Physician
Ear infection (middle ear),Infectious Disease
Swimmer's ear,General Physician
Precocious puberty,General Physician
Eating disorders,General Physician
Ebstein anomaly,General Physician
Premature ventricular contractions (PVCs),General Physician
Ectopic pregnancy,General Physician
Ectropion,General Physician
Erectile dysfunction,General Physician
Edema,General Physician
Pulmonary edema,General Physician
Ehrlichiosis and anaplasmosis,General Physician
Eisenmenger syndrome,General Physician
Elevated blood pressure,General Physician
Pulmonary embolism,General Physician
Encephalitis,General Physician
Encopresis,General Physician
End-stage renal disease,Nephrologist
Endocarditis,General Physician
Uterine polyps,General Physician
Endometriosis,General Physician
Enlarged breasts in men (gynecomastia),General Physician
Enlarged liver,General Physician
Enlarged spleen (splenomegaly),General Physician
Entropion,General Physician
Eosinophilic esophagitis,General Physician
Epidermolysis bullosa,General Physician
Epididymitis,General Physician
Epiglottitis,General Physician
Epilepsy,Neurologist
Stevens-Johnson syndrome,General Physician
Esophageal varices,General Physician
Esophagitis,General Physician
Ewing sarcoma,General Physician
Hirsutism,General Physician
Menorrhagia (heavy menstrual bleeding),General Physician
Exercise headaches,General Physician
Eye floaters,General Physician
Factitious disorder,General Physician
Factor V Leiden,General Physician
Flatfeet,General Physician
Tetralogy of Fallot,General Physician
Familial Mediterranean fever,General Physician
Febrile seizure,General Physician
Female infertility,General Physician
Female sexual dysfunction,General Physician
Fetal alcohol syndrome,General Physician
Uterine fibroids,General Physician
Fibromuscular dysplasia,General Physician
Floor of the mouth cancer,Oncologist
Influenza (flu),General Physician
H1N1 flu (swine flu),General Physician
Stress fractures,Orthopedic
Frostbite,General Physician
Fuchs' dystrophy,General Physician
Functional dyspepsia,General Physician
Gallstones,General Physician
Gangrene,General Physician
Gastritis,General Physician
Viral gastroenteritis (stomach flu),Gastroenterologist
Gaucher disease,General Physician
Genital herpes,General Physician
Giardia infection (giardiasis),Infectious Disease
Gilbert's syndrome,General Physician
Glaucoma,General Physician
Krabbe disease,General Physician
Golfer's elbow,General Physician
Grand mal seizure,General Physician
Granulomatosis with polyangiitis,General Physician
Graves' disease,General Physician
Helicobacter pylori (H. pylori) infection,Infectious Disease
Hamstring injury,General Physician
Wrist pain,General Physician
Hand-foot-and-mouth disease,General Physician
Hantavirus pulmonary syndrome,Infectious Disease
Hepatitis A,General Physician
Hepatitis B,General Physician
Head lice,General Physician
Migraine,General Physician
Sex headaches,General Physician
Sinus headaches,General Physician
Spinal headaches,General Physician
Headaches in children,General Physician
Illness anxiety disorder,General Physician
Hearing loss,General Physician
Heart attack,Cardiologist
Heart murmurs,Cardiologist
Heart palpitations,Cardiologist
Heart valve disease,Cardiologist
Heartburn,Cardiologist
Heat exhaustion,General Physician
Heat rash,General Physician
Heatstroke,General Physician
Liver hemangioma,General Physician
Hemochromatosis,General Physician
Hemophilia,General Physician
Hemorrhoids,General Physician
Henoch-Schonlein purpura,General Physician
Toxic hepatitis,General Physician
Stickler syndrome,General Physician
Hiatal hernia,General Physician
Inguinal hernia,General Physician
Herniated disk,General Physician
Shingles,General Physician
Ramsay Hunt syndrome,General Physician
Hidradenitis suppurativa,General Physician
High blood pressure (hypertension),General Physician
High blood pressure in children,General Physician
Secondary hypertension,General Physician
Histoplasmosis,General Physician
Laryngitis,General Physician
Sty,General Physician
Hot flashes,General Physician
HPV infection,Infectious Disease
Hunter syndrome,General Physician
Progeria,General Physician
Hydrocele,General Physician
Hydrocephalus,General Physician
Vesicoureteral reflux,General Physician
Hyperglycemia in diabetes,General Physician
